index,case_id,case_execution_time,case_execution_time_seconds,num_of_events
0,173688,12 days 09:58:52.480000000,1072732.48,18
1,173691,9 days 06:08:36.377000000,799716.377,26
2,173694,137 days 05:18:56.012000000,11855936.012,37
3,173697,0 days 00:00:37.554000000,37.554,3
4,173700,0 days 00:00:41.143000000,41.143,3
5,173703,0 days 03:16:46.751000000,11806.751,6
6,173706,0 days 05:14:25.263000000,18865.263,8
7,173709,31 days 00:17:25.393000000,2679445.393,8
8,173712,2 days 04:44:25.051000000,189865.051,8
9,173715,12 days 01:06:17.581000000,1040777.581,16
10,173718,25 days 22:40:22.427000000,2241622.427,43
11,173721,9 days 05:20:55.639000000,796855.639,21
12,173724,2 days 03:56:06.200000000,186966.2,11
13,173727,0 days 00:00:43.699000000,43.699,3
14,173730,19 days 20:32:12.568000000,1715532.568,40
15,173733,0 days 02:15:22.309000000,8122.309,4
16,173736,16 days 22:59:38.997000000,1465178.997,35
17,173739,13 days 03:09:56.991000000,1134596.991,28
18,173742,13 days 02:07:56.516000000,1130876.516,21
19,173745,6 days 22:37:43.578000000,599863.578,13
20,173748,2 days 02:35:07.961000000,182107.961,24
21,173751,9 days 20:24:58.268000000,851098.268,17
22,173754,12 days 23:38:32.096000000,1121912.096,22
23,173757,0 days 00:00:37.588000000,37.588,3
24,173760,13 days 00:25:53.739000000,1124753.739,18
25,173763,0 days 00:29:21.029000000,1761.029,4
26,173766,5 days 04:40:09.900000000,448809.9,16
27,173769,0 days 00:00:36.499000000,36.499,3
28,173772,0 days 00:00:35.277000000,35.277,3
29,173775,1 days 17:39:04.443000000,149944.443,6
30,173778,1 days 15:15:26.464000000,141326.464,4
31,173781,1 days 15:14:37.848000000,141277.848,5
32,173784,44 days 18:44:39.954000000,3869079.954,56
33,173787,17 days 23:45:55.510000000,1554355.51,23
34,173790,8 days 19:08:28.114000000,760108.114,19
35,173793,16 days 15:52:25.485000000,1439545.485,22
36,173796,8 days 21:04:44.409000000,767084.409,14
37,173799,2 days 22:02:55.603000000,252175.603,8
38,173802,1 days 12:31:59.238000000,131519.238,4
39,173805,32 days 13:07:21.804000000,2812041.804,25
40,173808,0 days 00:00:40.851000000,40.851,3
41,173811,32 days 11:15:56.087000000,2805356.087,28
42,173814,1 days 12:14:06.134000000,130446.134,6
43,173817,9 days 08:18:19.546000000,807499.546,20
44,173820,0 days 00:00:43.258000000,43.258,3
45,173823,11 days 00:12:55.385000000,951175.385,16
46,173826,1 days 05:00:17.578000000,104417.578,11
47,173829,0 days 23:44:16.738000000,85456.738,7
48,173832,0 days 00:00:44.699000000,44.699,3
49,173835,16 days 03:52:16.364000000,1396336.364,19
50,173838,0 days 00:00:41.569000000,41.569,3
51,173841,2 days 03:01:59.600000000,183719.6,7
52,173844,9 days 03:53:42.780000000,791622.78,18
53,173847,9 days 23:25:54.365000000,861954.365,14
54,173850,0 days 00:00:39.793000000,39.793,3
55,173853,0 days 00:00:34.090000000,34.09,3
56,173856,0 days 21:41:05.700000000,78065.7,5
57,173859,8 days 04:56:13.819000000,708973.819,14
58,173862,0 days 21:25:31.391000000,77131.391,4
59,173865,0 days 00:00:45.435000000,45.435,3
60,173868,23 days 19:43:20.783000000,2058200.783,18
61,173871,11 days 21:00:22.388000000,1026022.388,22
62,173874,0 days 00:00:03.363000000,3.363,3
63,173877,0 days 00:00:41.577000000,41.577,3
64,173880,33 days 00:45:31.581000000,2853931.581,36
65,173883,0 days 00:00:02.195000000,2.195,3
66,173886,0 days 00:00:38.845000000,38.845,3
67,173889,0 days 18:54:21.701000000,68061.701,4
68,173892,0 days 00:00:36.611000000,36.611,3
69,173895,0 days 00:00:40.298000000,40.298,3
70,173898,11 days 03:55:09.010000000,964509.01,17
71,173901,0 days 17:21:38.100000000,62498.1,4
72,173904,0 days 16:42:46.636000000,60166.636,4
73,173907,0 days 00:00:40.473000000,40.473,3
74,173910,0 days 00:00:42.643000000,42.643,3
75,173913,9 days 22:43:01.228000000,859381.228,19
76,173916,0 days 17:33:31.522000000,63211.522,6
77,173919,1 days 18:08:51.861000000,151731.861,10
78,173922,0 days 00:00:41.121000000,41.121,3
79,173925,0 days 18:23:36.940000000,66216.94,7
80,173928,57 days 15:57:32.326000000,4982252.326,62
81,173931,0 days 00:00:38.111000000,38.111,3
82,173934,0 days 13:24:05.818000000,48245.818,4
83,173937,30 days 13:07:34.435000000,2639254.435,18
84,173940,11 days 11:22:26.776000000,991346.776,27
85,173943,31 days 12:03:40.007000000,2721820.007,27
86,173946,31 days 11:24:05.291000000,2719445.291,15
87,173949,28 days 16:21:44.840000000,2478104.84,29
88,173952,0 days 00:00:50.787000000,50.787,3
89,173955,57 days 16:50:12.075000000,4985412.075,49
90,173958,30 days 10:56:29.987000000,2631389.987,13
91,173961,0 days 10:03:48.877000000,36228.877,4
92,173964,0 days 11:50:04.192000000,42604.192,6
93,173979,8 days 05:51:55.983000000,712315.983,17
94,173982,7 days 07:56:12.934000000,633372.934,13
95,173985,10 days 00:51:51.780000000,867111.78,16
96,173988,7 days 06:39:37.946000000,628777.946,14
97,173991,0 days 00:00:37.784000000,37.784,3
98,173994,0 days 00:00:52.171000000,52.171,3
99,173997,15 days 23:52:46.748000000,1381966.748,17
100,174000,30 days 23:36:17.420000000,2676977.42,24
101,174003,0 days 00:00:43.249000000,43.249,3
102,174006,0 days 01:11:23.679000000,4283.679,4
103,174009,9 days 22:35:29.742000000,858929.742,20
104,174012,15 days 06:29:14.657000000,1319354.657,26
105,174015,0 days 00:53:04.706000000,3184.706,4
106,174018,14 days 00:13:56.558000000,1210436.558,15
107,174021,0 days 00:40:54.740000000,2454.74,4
108,174024,0 days 02:57:27.359000000,10647.359,8
109,174027,0 days 00:25:48.185000000,1548.185,4
110,174030,32 days 06:51:12.656000000,2789472.656,36
111,174033,0 days 00:00:44.917000000,44.917,3
112,174036,14 days 23:04:07.362000000,1292647.362,36
113,174039,23 days 21:52:07.715000000,2065927.715,30
114,174042,8 days 04:33:00.239000000,707580.239,25
115,174045,14 days 21:55:27.436000000,1288527.436,29
116,174048,0 days 00:02:05.719000000,125.719,5
117,174051,0 days 01:02:00.533000000,3720.533,5
118,174054,0 days 00:00:38.930000000,38.93,3
119,174057,0 days 00:00:32.864000000,32.864,3
120,174060,70 days 21:49:25.632000000,6126565.632,75
121,174063,0 days 00:00:43.788000000,43.788,3
122,174066,0 days 00:00:57.132000000,57.132,3
123,174069,10 days 03:22:58.428000000,876178.428,34
124,174072,0 days 00:19:15.188000000,1155.188,4
125,174075,0 days 00:08:42.069000000,522.069,4
126,174078,14 days 06:47:39.936000000,1234059.936,20
127,174081,0 days 00:00:39.399000000,39.399,3
128,174084,0 days 20:51:06.105000000,75066.105,25
129,174087,7 days 22:02:33.763000000,684153.763,18
130,174090,30 days 20:25:04.793000000,2665504.793,15
131,174093,30 days 20:21:13.389000000,2665273.389,22
132,174096,17 days 20:25:39.759000000,1542339.759,38
133,174099,22 days 22:38:11.074000000,1982291.074,27
134,174102,0 days 01:54:27.067000000,6867.067,7
135,174105,0 days 00:22:29.601000000,1349.601,16
136,174108,0 days 00:00:41.260000000,41.26,3
137,174111,0 days 01:50:32.927000000,6632.927,7
138,174114,0 days 00:06:38.068000000,398.068,4
139,174117,0 days 00:04:08.478000000,248.478,4
140,174120,0 days 01:29:31.866000000,5371.866,12
141,174123,0 days 00:04:53.244000000,293.244,4
142,174126,0 days 00:06:04.725000000,364.725,4
143,174129,0 days 00:11:07.646000000,667.646,4
144,174132,34 days 22:44:49.433000000,3019489.433,67
145,174135,0 days 00:06:06.295000000,366.295,4
146,174138,0 days 17:14:39.133000000,62079.133,8
147,174141,11 days 00:09:05.704000000,950945.704,22
148,174144,11 days 01:39:51.470000000,956391.47,19
149,174147,30 days 17:14:03.581000000,2654043.581,21
150,174150,30 days 16:46:09.313000000,2652369.313,19
151,174153,13 days 20:38:45.250000000,1197525.25,22
152,174156,0 days 00:00:41.913000000,41.913,3
153,174159,31 days 16:08:15.720000000,2736495.72,36
154,174162,0 days 00:11:16.398000000,676.398,4
155,174165,0 days 00:00:41.209000000,41.209,3
156,174168,9 days 23:59:02.634000000,863942.634,23
157,174171,0 days 00:00:48.130000000,48.13,3
158,174174,0 days 00:00:37.442000000,37.442,3
159,174177,30 days 15:24:52.340000000,2647492.34,16
160,174180,10 days 15:12:07.854000000,918727.854,20
161,174183,0 days 00:00:49.285000000,49.285,3
162,174186,0 days 01:28:42.837000000,5322.837,6
163,174189,0 days 00:00:32.790000000,32.79,3
164,174192,0 days 00:00:51.939000000,51.939,3
165,174195,0 days 01:20:14.800000000,4814.8,6
166,174198,0 days 19:22:13.647000000,69733.647,9
167,174201,0 days 21:25:13.429000000,77113.429,9
168,174204,0 days 00:18:29.756000000,1109.756,4
169,174207,0 days 22:34:39.993000000,81279.993,10
170,174210,0 days 00:00:02.505000000,2.505,3
171,174213,1 days 22:45:31.441000000,168331.441,11
172,174216,22 days 13:48:24.996000000,1950504.996,29
173,174219,0 days 00:15:06.419000000,906.419,7
174,174222,0 days 00:00:54.137000000,54.137,3
175,174225,0 days 00:00:56.733000000,56.733,3
176,174228,0 days 00:05:03.797000000,303.797,4
177,174231,8 days 00:33:20.442000000,693200.442,13
178,174234,0 days 00:07:48.674000000,468.674,4
179,174237,30 days 19:36:17.081000000,2662577.081,29
180,174240,0 days 00:08:34.802000000,514.802,6
181,174243,0 days 15:34:33.487000000,56073.487,6
182,174246,0 days 00:05:05.920000000,305.92,4
183,174249,9 days 23:52:48.310000000,863568.31,19
184,174252,14 days 19:06:44.479000000,1278404.479,25
185,174255,9 days 17:03:02.692000000,838982.692,20
186,174258,0 days 15:52:32.468000000,57152.468,6
187,174261,14 days 12:41:40.332000000,1255300.332,24
188,174264,37 days 15:00:54.168000000,3250854.168,41
189,174267,0 days 00:00:42.729000000,42.729,3
190,174270,21 days 17:43:41.422000000,1878221.422,38
191,174273,0 days 11:49:36.123000000,42576.123,4
192,174276,0 days 00:00:05.667000000,5.667,3
193,174279,7 days 20:06:41.038000000,677201.038,12
194,174282,0 days 10:20:37.435000000,37237.435,4
195,174285,9 days 13:51:29.745000000,827489.745,21
196,174288,0 days 12:00:55.204000000,43255.204,6
197,174291,15 days 20:01:02.067000000,1368062.067,22
198,174294,31 days 10:41:35.926000000,2716895.926,32
199,174297,0 days 13:08:20.906000000,47300.906,7
200,174300,0 days 07:32:16.731000000,27136.731,4
201,174303,0 days 11:57:31.005000000,43051.005,7
202,174319,10 days 03:03:48.333000000,875028.333,24
203,174322,31 days 01:44:21.484000000,2684661.484,22
204,174325,7 days 01:23:00.132000000,609780.132,27
205,174328,0 days 00:00:40.837000000,40.837,3
206,174331,0 days 00:11:03.265000000,663.265,6
207,174334,6 days 05:31:57.028000000,538317.028,20
208,174337,3 days 04:20:06.352000000,274806.352,39
209,174340,0 days 00:00:38.533000000,38.533,3
210,174343,17 days 00:19:19.541000000,1469959.541,29
211,174346,0 days 00:05:53.231000000,353.231,4
212,174349,20 days 04:15:47.774000000,1743347.774,23
213,174352,0 days 00:18:47.711000000,1127.711,4
214,174355,0 days 00:07:25.577000000,445.577,4
215,174358,34 days 00:59:52.959000000,2941192.959,40
216,174361,0 days 08:50:47.386000000,31847.386,13
217,174364,0 days 00:09:49.951000000,589.951,4
218,174367,16 days 08:10:07.506000000,1411807.506,19
219,174370,0 days 00:00:31.223000000,31.223,3
220,174373,0 days 00:00:34.338000000,34.338,3
221,174376,0 days 02:29:08.597000000,8948.597,11
222,174379,10 days 23:27:11.882000000,948431.882,16
223,174382,7 days 20:58:27.698000000,680307.698,37
224,174385,7 days 19:43:46.558000000,675826.558,17
225,174388,7 days 02:22:55.682000000,613375.682,17
226,174391,0 days 00:00:55.540000000,55.54,3
227,174394,8 days 18:59:48.954000000,759588.954,14
228,174397,16 days 19:31:30.972000000,1452690.972,47
229,174400,0 days 00:33:53.447000000,2033.447,6
230,174403,22 days 01:03:44.661000000,1904624.661,23
231,174406,30 days 20:11:38.451000000,2664698.451,27
232,174409,9 days 19:16:16.872000000,846976.872,31
233,174412,0 days 00:00:48.123000000,48.123,3
234,174415,14 days 20:40:16.397000000,1284016.397,17
235,174418,22 days 20:53:16.995000000,1975996.995,32
236,174421,0 days 00:48:25.213000000,2905.213,12
237,174424,12 days 20:50:55.514000000,1111855.514,23
238,174427,0 days 00:00:33.508000000,33.508,3
239,174430,10 days 00:57:05.660000000,867425.66,17
240,174433,0 days 01:23:26.009000000,5006.009,8
241,174436,24 days 04:53:45.623000000,2091225.623,36
242,174439,0 days 00:00:47.020000000,47.02,3
243,174442,0 days 00:17:41.098000000,1061.098,5
244,174445,1 days 21:08:38.222000000,162518.222,8
245,174448,7 days 19:54:14.805000000,676454.805,21
246,174451,0 days 02:51:14.170000000,10274.17,7
247,174454,0 days 00:00:52.394000000,52.394,3
248,174457,30 days 17:21:43.113000000,2654503.113,13
249,174460,0 days 00:00:33.634000000,33.634,3
250,174463,13 days 16:15:55.719000000,1181755.719,28
251,174466,0 days 00:01:32.606000000,92.606,3
252,174469,9 days 21:10:09.126000000,853809.126,16
253,174472,0 days 00:34:52.274000000,2092.274,4
254,174475,0 days 16:09:56.432000000,58196.432,6
255,174478,16 days 19:15:05.844000000,1451705.844,30
256,174481,7 days 19:55:08.116000000,676508.116,16
257,174484,0 days 16:25:12.779000000,59112.779,8
258,174487,6 days 17:04:21.747000000,579861.747,17
259,174490,0 days 23:28:57.774000000,84537.774,12
260,174493,30 days 14:53:49.004000000,2645629.004,23
261,174496,0 days 00:10:00.316000000,600.316,5
262,174499,0 days 00:08:26.743000000,506.743,4
263,174502,36 days 19:47:55.159000000,3181675.159,31
264,174505,12 days 18:55:08.187000000,1104908.187,18
265,174508,16 days 17:20:45.448000000,1444845.448,15
266,174511,51 days 18:50:43.200000000,4474243.2,43
267,174514,0 days 00:00:36.622000000,36.622,3
268,174517,38 days 13:05:35.907000000,3330335.907,42
269,174520,0 days 00:00:40.943000000,40.943,3
270,174523,0 days 00:00:41.928000000,41.928,3
271,174526,0 days 11:29:17.141000000,41357.141,4
272,174529,19 days 15:39:46.583000000,1697986.583,23
273,174532,0 days 11:28:36.745000000,41316.745,4
274,174535,9 days 23:07:19.558000000,860839.558,18
275,174538,12 days 18:18:43.379000000,1102723.379,21
276,174541,27 days 21:51:25.538000000,2411485.538,24
277,174544,0 days 00:00:42.956000000,42.956,3
278,174547,31 days 11:22:57.565000000,2719377.565,29
279,174559,20 days 09:46:01.192000000,1763161.192,32
280,174562,7 days 11:43:19.920000000,646999.92,18
281,174565,8 days 17:06:47.530000000,752807.53,17
282,174568,20 days 20:25:35.261000000,1801535.261,22
283,174571,7 days 08:22:01.733000000,634921.733,13
284,174574,0 days 07:02:03.549000000,25323.549,4
285,174577,28 days 11:33:05.178000000,2460785.178,40
286,174599,0 days 00:00:46.123000000,46.123,3
287,174602,0 days 01:09:24.321000000,4164.321,17
288,174605,12 days 22:48:20.075000000,1118900.075,18
289,174608,0 days 00:30:26.641000000,1826.641,5
290,174611,0 days 00:15:24.560000000,924.56,6
291,174614,31 days 00:42:00.545000000,2680920.545,24
292,174617,0 days 00:00:33.288000000,33.288,3
293,174620,16 days 01:07:06.849000000,1386426.849,20
294,174623,0 days 00:20:43.131000000,1243.131,4
295,174626,0 days 02:10:06.759000000,7806.759,5
296,174629,21 days 04:53:23.813000000,1832003.813,19
297,174632,0 days 00:00:38.670000000,38.67,3
298,174635,12 days 07:12:06.925000000,1062726.925,19
299,174638,30 days 23:47:17.476000000,2677637.476,16
300,174641,0 days 00:00:58.974000000,58.974,3
301,174644,55 days 09:27:03.658000000,4786023.658,31
302,174647,0 days 00:47:23.193000000,2843.193,4
303,174650,16 days 04:28:51.407000000,1398531.407,34
304,174653,29 days 22:35:44.788000000,2586944.788,21
305,174656,8 days 22:18:17.460000000,771497.46,22
306,174659,28 days 02:14:59.481000000,2427299.481,31
307,174662,0 days 00:00:39.911000000,39.911,3
308,174665,0 days 00:06:05.767000000,365.767,4
309,174668,0 days 02:16:23.699000000,8183.699,5
310,174671,30 days 21:49:23.502000000,2670563.502,31
311,174674,0 days 00:00:45.170000000,45.17,3
312,174677,0 days 00:00:35.423000000,35.423,3
313,174680,0 days 00:00:38.784000000,38.784,3
314,174683,30 days 21:32:26.210000000,2669546.21,16
