num_of_antecedent_events,avg_of_case_remaining_time,y_case_remaining_time
0,771978.3777942169,1072732.48
1,771977.8326473025,1072732.146
2,1369727.7783866778,1072679.12
3,1601554.9322030153,1032893.718
4,1590044.4747371168,1032747.783
5,1625623.3897638072,1032747.783
6,1590041.78589297,1032745.829
7,1590041.7263020962,1032745.646
8,1446174.0401162277,1032743.109
9,1121596.2301124877,1030828.102
10,1121596.2301124877,410736.14
11,455055.6343089471,255873.358
12,1121596.2301124877,255871.235
13,7845.474540145966,7.8
14,7845.475503649621,7.8
15,7527.792504385949,7.8
16,7845.474449635019,7.8
17,240389.78877129089,0.0
0,771978.3777942169,799716.377
1,771977.8326473025,799712.438
2,1369727.7783866778,799657.985
3,1446174.0401162277,786861.455
4,1601554.9322030153,776620.019
5,1625623.3897638072,776508.617
6,1590044.4747371168,776508.617
7,1590041.78589297,776507.145
8,1590041.7263020962,776507.05
9,1446174.0401162277,776505.842
10,1121596.2301124877,776468.839
11,1590044.4747371168,595276.902
12,762216.2992770204,595276.902
13,1590041.78589297,595275.02
14,1590041.7263020962,595274.988
15,1121596.2301124877,595273.438
16,1121596.2301124877,595218.07
17,455055.6343089471,14570.858
18,1121596.2301124877,14569.119
19,240389.78877129089,9999.74
20,240389.78877129089,201.239
21,7527.792504385949,8.327
22,7845.475503649621,8.326
23,7845.474540145966,8.326
24,7845.474449635019,8.326
25,240389.78877129089,0.0
0,771978.3777942169,11855936.012
1,771977.8326473025,11855935.708
2,1369727.7783866778,11855893.273
3,1446174.0401162277,11843606.662
4,1446174.0401162277,11671683.882
5,1446174.0401162277,11663802.986
6,1601554.9322030153,11663700.878
7,1625623.3897638072,11663351.667
8,1590044.4747371168,11663351.667
9,1590041.78589297,11663350.694
10,1590041.7263020962,11663350.648
11,1446174.0401162277,11663349.237
12,1590044.4747371168,11663108.68
13,762216.2992770204,11663108.68
14,1590041.78589297,11663106.628
15,1590041.7263020962,11663106.58
16,1121596.2301124877,11663105.038
17,1121596.2301124877,11047327.496
18,1121596.2301124877,11037290.272
19,1121596.2301124877,10696364.054
20,1590044.4747371168,10431932.712
21,762216.2992770204,10431932.712
22,1590041.78589297,10431931.08
23,1590041.7263020962,10431930.912
24,1121596.2301124877,10431928.525
