num_of_antecedent_events,avg_of_case_remaining_time,y_case_remaining_time
0,893074.6129696969,1072732.48
1,893074.2617575764,1072732.146
2,1422326.2889344261,1072679.12
3,1385864.467095238,1033250.589
3,1759333.5449512198,1032893.718
4,2020808.8138679247,1032747.783
5,1759100.6792439027,1032747.783
6,2020802.8962452828,1032745.829
7,2020802.8545283014,1032745.646
8,1385864.467095238,1032743.109
9,1725338.3866436782,1030915.736
9,1725338.3866436782,1030828.102
10,1725338.3866436782,411039.306
10,1725338.3866436782,410736.14
11,1725338.3866436782,255914.531
11,938863.0248275863,255873.358
12,1725338.3866436782,255871.235
13,539168.8967457627,1930.101
13,493689.8443888889,7.8
14,493689.8447222223,7.8
15,493689.84500000003,7.8
16,493689.8442777778,7.8
17,539168.8967457627,0.0
0,893074.6129696969,799716.377
1,893074.2617575764,799712.438
2,1422326.2889344261,799657.985
3,1385864.467095238,787202.24
3,1385864.467095238,786861.455
4,1385864.467095238,776976.858
4,1759333.5449512198,776620.019
5,1759100.6792439027,776508.617
6,2020808.8138679247,776508.617
7,2020802.8962452828,776507.145
8,2020802.8545283014,776507.05
9,1385864.467095238,776505.842
10,1725338.3866436782,776481.19
10,1725338.3866436782,776468.839
11,1725338.3866436782,595371.376
11,2020808.8138679247,595276.902
12,1457490.0654166667,595276.902
13,2020802.8962452828,595275.02
14,2020802.8545283014,595274.988
15,1725338.3866436782,595273.438
16,1725338.3866436782,595259.841
16,1725338.3866436782,595218.07
17,1725338.3866436782,14629.806
17,938863.0248275863,14570.858
18,1725338.3866436782,14569.119
19,539168.8967457627,11098.021
19,539168.8967457627,9999.74
20,539168.8967457627,352.509
20,539168.8967457627,201.239
21,539168.8967457627,161.791
21,493689.84500000003,8.327
22,493689.8447222223,8.326
23,493689.8443888889,8.326
24,493689.8442777778,8.326
25,539168.8967457627,0.0
0,893074.6129696969,11855936.012
1,893074.2617575764,11855935.708
2,1422326.2889344261,11855893.273
3,1385864.467095238,11843880.998
3,1385864.467095238,11843606.662
4,1385864.467095238,11672243.854
4,1385864.467095238,11671683.882
5,1385864.467095238,11664499.673
5,1385864.467095238,11663802.986
6,1385864.467095238,11663793.481
6,1759333.5449512198,11663700.878
7,1759100.6792439027,11663351.667
8,2020808.8138679247,11663351.667
9,2020802.8962452828,11663350.694
10,2020802.8545283014,11663350.648
11,1385864.467095238,11663349.237
12,1725338.3866436782,11663323.83
12,2020808.8138679247,11663108.68
13,1457490.0654166667,11663108.68
14,2020802.8962452828,11663106.628
15,2020802.8545283014,11663106.58
16,1725338.3866436782,11663105.038
17,1725338.3866436782,11047346.446
17,1725338.3866436782,11047327.496
18,1725338.3866436782,11037572.144
18,1725338.3866436782,11037290.272
19,1725338.3866436782,10696421.674
19,1725338.3866436782,10696364.054
20,1725338.3866436782,10432077.904
20,2020808.8138679247,10431932.712
21,1457490.0654166667,10431932.712
22,2020802.8962452828,10431931.08
23,2020802.8545283014,10431930.912
24,1725338.3866436782,10431928.525
25,1725338.3866436782,9772998.108
25,1725338.3866436782,9772718.113
26,1725338.3866436782,9657629.163
26,1725338.3866436782,9657544.295
27,1725338.3866436782,9420618.087
27,1725338.3866436782,9420476.73
28,1725338.3866436782,9149686.171
28,1725338.3866436782,9149631.279
29,1725338.3866436782,9141175.15
29,1725338.3866436782,9140903.943
30,1725338.3866436782,9083862.048
30,938863.0248275863,9083650.096
31,1725338.3866436782,9083647.616
32,539168.8967457627,8888704.345
32,493689.84500000003,8886273.688
33,493689.8447222223,8886273.687
34,493689.8443888889,8886273.687
35,493689.8442777778,8886273.687
36,539168.8967457627,8886264.767
0,893074.6129696969,37.554
1,893074.2617575764,37.385
2,3.955120689655173,0.0
0,893074.6129696969,41.143
1,893074.2617575764,40.935
2,3.955120689655173,0.0
0,893074.6129696969,11806.751
1,893074.2617575764,11806.576
2,1422326.2889344261,11754.346
3,1385864.467095238,5065.809
3,1385864.467095238,4908.416
4,1385864.467095238,1305.599
4,1.553904761904762,1.489
5,1385864.467095238,0.0
0,893074.6129696969,18865.263
1,893074.2617575764,18865.174
